course_number,quarter_name
110-0,2024 Fall
110-0,2024 Winter
110-0,2024 Spring
110-0,2025 Winter
111-0,2024 Fall
111-0,2024 Winter
111-0,2024 Spring
111-0,2025 Winter
150-0,2024 Fall
150-0,2024 Winter
150-0,2024 Spring
150-0,2024 Summer
150-0,2025 Winter
211-0,2024 Fall
211-0,2024 Winter
211-0,2024 Spring
211-0,2025 Winter
212-0,2024 Fall
212-0,2024 Winter
212-0,2024 Spring
212-0,2024 Summer
212-0,2025 Winter
213-0,2024 Fall
213-0,2024 Winter
213-0,2024 Spring
213-0,2025 Winter
214-0,2024 Fall
214-0,2024 Winter
214-0,2024 Spring
214-0,2025 Winter
217-0,2024 Fall
217-0,2024 Spring
295-0,2024 Spring
301-0,2024 Winter
310-0,2024 Fall
310-0,2024 Winter
314-0,2024 Winter
315-0,2024 Fall
315-0,2024 Winter
315-0,2024 Spring
315-0,2025 Winter
321-0,2024 Fall
321-0,2024 Winter
321-0,2024 Spring
321-0,2025 Winter
329-0,2024 Fall
329-0,2024 Winter
329-0,2024 Spring
330-0,2024 Fall
330-0,2024 Summer
330-0,2025 Winter
333-0,2024 Summer
333-0,2025 Winter
335-0,2024 Fall
335-0,2024 Spring
335-0,2025 Winter
336-0,2024 Fall
336-0,2024 Winter
336-0,2024 Spring
336-0,2024 Summer
336-0,2025 Winter
337-0,2024 Fall
337-0,2025 Winter
338-0,2024 Fall
338-0,2024 Winter
338-0,2024 Spring
338-0,2025 Winter
339-0,2024 Fall
339-0,2024 Winter
339-0,2024 Spring
339-0,2025 Winter
340-0,2024 Fall
340-0,2024 Winter
341-0,2024 Spring
341-0,2024 Summer
343-0,2024 Fall
343-0,2024 Winter
343-0,2025 Winter
344-0,2024 Winter
345-0,2024 Spring
348-0,2024 Fall
348-0,2024 Winter
348-0,2024 Spring
348-0,2024 Summer
348-0,2025 Winter
349-0,2024 Fall
349-0,2024 Winter
349-0,2024 Spring
349-0,2024 Summer
349-0,2025 Winter
350-0,2024 Fall
350-0,2025 Winter
351-1,2024 Fall
351-1,2024 Winter
351-1,2025 Winter
352-0,2024 Spring
354-0,2024 Winter
355-0,2024 Spring
372-0,2024 Spring
376-0,2024 Fall
376-0,2025 Winter
394-0,2024 Winter
394-0,2024 Spring
396-0,2024 Fall
396-0,2024 Winter
396-0,2024 Spring
396-0,2024 Summer
396-0,2025 Winter
397-0,2024 Fall
397-0,2024 Winter
397-0,2024 Spring
397-0,2024 Summer
397-0,2025 Winter
401-0,2024 Fall
401-0,2025 Winter
409-0,2025 Winter
410-0,2024 Spring
440-0,2024 Fall
445-0,2024 Winter
446-0,2024 Spring
450-0,2024 Winter
450-0,2025 Winter
469-0,2025 Winter
472-0,2024 Spring
474-0,2024 Fall
496-0,2024 Fall
496-0,2024 Winter
496-0,2024 Spring
497-0,2024 Fall
497-0,2024 Winter
497-0,2024 Spring
332-0,2024 Fall
332-0,2025 Winter
368-0,2024 Winter
368-0,2024 Summer
415-0,2024 Fall
415-0,2024 Winter
415-0,2024 Spring
415-0,2025 Winter
449-0,2024 Fall
449-0,2024 Winter
449-0,2024 Spring
449-0,2025 Winter
468-0,2024 Winter
260-0,2025 Winter
460-0,2025 Winter
298-0,2024 Fall
298-0,2025 Winter
307-0,2024 Fall
307-0,2025 Winter
312-0,2024 Spring
325-0,2024 Fall
325-0,2025 Winter
392-0,2024 Fall
392-0,2025 Winter
388-0,2024 Winter
262-0,2024 Spring
296-0,2024 Spring
324-0,2024 Spring
326-0,2024 Fall
326-0,2024 Winter
326-0,2024 Summer
326-0,2025 Winter
424-0,2024 Spring
346-0,2024 Fall
346-0,2024 Spring
346-0,2025 Winter
308-0,2024 Fall
308-0,2024 Spring
308-0,2025 Winter
462-0,2024 Fall
462-0,2025 Winter
353-0,2024 Fall
353-0,2025 Winter
362-0,2024 Fall
362-0,2025 Winter
436-0,2024 Fall
437-0,2024 Fall
437-0,2025 Winter
374-0,2024 Winter
407-0,2024 Winter
461-0,2024 Winter
461-0,2025 Winter
302-0,2024 Winter
398-0,2024 Winter
303-0,2024 Spring
358-0,2024 Spring
358-0,2025 Winter
432-0,2024 Spring
433-0,2024 Spring
320-0,2024 Spring
416-0,2024 Spring
301-0,2025 Winter
302-0,2025 Winter
310-0,2025 Winter
314-0,2025 Winter
329-0,2025 Winter
340-0,2025 Winter
344-0,2025 Winter
354-0,2025 Winter
368-0,2025 Winter
374-0,2025 Winter
388-0,2025 Winter
394-0,2025 Winter
396-0-1,2025 Winter
396-0-2,2025 Winter
396-0-3,2025 Winter
396-0-4,2025 Winter
396-0-5,2025 Winter
396-0-6,2025 Winter
396-0-7,2025 Winter
396-0-8,2025 Winter
397-0-1,2025 Winter
397-0-2,2025 Winter
397-0-3,2025 Winter
398-0,2025 Winter
407-0,2025 Winter
445-0,2025 Winter
468-0,2025 Winter
496-0-1,2025 Winter
496-0-2,2025 Winter
496-0-3,2025 Winter
496-0-4,2025 Winter
496-0-5,2025 Winter
496-0-6,2025 Winter
496-0-9,2025 Winter
496-0-10,2025 Winter
496-0-11,2025 Winter
496-0-12,2025 Winter
496-0-13,2025 Winter
497-0-2,2025 Winter
497-0-3,2025 Winter
497-0-4,2025 Winter
110-0,2025 Spring
111-0,2025 Spring
150-0,2025 Spring
211-0,2025 Spring
212-0,2025 Spring
213-0,2025 Spring
214-0,2025 Spring
217-0,2025 Spring
262-0,2025 Spring
295-0,2025 Spring
296-0,2025 Spring
303-0,2025 Spring
308-0,2025 Spring
312-0,2025 Spring
315-0,2025 Spring
321-0,2025 Spring
324-0,2025 Spring
329-0,2025 Spring
335-0,2025 Spring
336-0,2025 Spring
338-0,2025 Spring
339-0,2025 Spring
341-0,2025 Spring
345-0,2025 Spring
346-0,2025 Spring
348-0,2025 Spring
349-0,2025 Spring
352-0,2025 Spring
355-0,2025 Spring
358-0,2025 Spring
372-0,2025 Spring
394-0,2025 Spring
396-0-1,2025 Spring
396-0-2,2025 Spring
396-0-3,2025 Spring
396-0-4,2025 Spring
396-0-7,2025 Spring
396-0-8,2025 Spring
396-0-9,2025 Spring
396-0-10,2025 Spring
396-0-11,2025 Spring
397-0-1,2025 Spring
397-0-2,2025 Spring
397-0-3,2025 Spring
397-0-4,2025 Spring
397-0-6,2025 Spring
397-0-7,2025 Spring
397-0-8,2025 Spring
410-0,2025 Spring
415-0,2025 Spring
416-0,2025 Spring
424-0,2025 Spring
432-0,2025 Spring
433-0,2025 Spring
446-0,2025 Spring
449-0,2025 Spring
472-0,2025 Spring
496-0-2,2025 Spring
496-0-7,2025 Spring
496-0-8,2025 Spring
496-0-9,2025 Spring
496-0-10,2025 Spring
496-0-11,2025 Spring
496-0-13,2025 Spring
496-0-14,2025 Spring
496-0-16,2025 Spring
496-0-17,2025 Spring
496-0-18,2025 Spring
496-0-19,2025 Spring
496-0-20,2025 Spring
496-0-21,2025 Spring
497-0-6,2025 Spring
497-0-7,2025 Spring
497-0-8,2025 Spring
497-0-13,2025 Spring
497-0-14,2025 Spring
497-0-15,2025 Spring
320-0,2025 Spring
396-0-2,2024 Fall
396-0-3,2024 Fall
396-0-6,2024 Fall
396-0-7,2024 Fall
397-0-1,2024 Fall
397-0-2,2024 Fall
496-0-2,2024 Fall
496-0-7,2024 Fall
496-0-9,2024 Fall
496-0-10,2024 Fall
496-0-11,2024 Fall
496-0-14,2024 Fall
496-0-15,2024 Fall
496-0-16,2024 Fall
497-0-1,2024 Fall
497-0-3,2024 Fall
217-0,2024 Winter
322-0,2024 Winter
371-0,2024 Winter
377-0,2024 Winter
396-0-1,2024 Winter
396-0-2,2024 Winter
396-0-3,2024 Winter
396-0-4,2024 Winter
396-0-5,2024 Winter
396-0-7,2024 Winter
396-0-8,2024 Winter
396-0-9,2024 Winter
396-0-10,2024 Winter
396-0-11,2024 Winter
396-0-13,2024 Winter
397-0-1,2024 Winter
397-0-2,2024 Winter
397-0-3,2024 Winter
496-0-1,2024 Winter
496-0-2,2024 Winter
496-0-3,2024 Winter
496-0-5,2024 Winter
496-0-6,2024 Winter
496-0-7,2024 Winter
496-0-8,2024 Winter
496-0-11,2024 Winter
496-0-12,2024 Winter
496-0-13,2024 Winter
496-0-14,2024 Winter
497-0-2,2024 Winter
497-0-3,2024 Winter
497-0-4,2024 Winter
260-0,2024 Spring
310-0,2024 Spring
311-0,2024 Spring
313-0,2024 Spring
326-0,2024 Spring
343-0,2024 Spring
347-0,2024 Spring
396-0-1,2024 Spring
396-0-2,2024 Spring
396-0-3,2024 Spring
396-0-4,2024 Spring
396-0-5,2024 Spring
396-0-8,2024 Spring
396-0-9,2024 Spring
396-0-10,2024 Spring
396-0-18,2024 Spring
396-0-19,2024 Spring
396-0-20,2024 Spring
396-0-21,2024 Spring
397-0-7,2024 Spring
397-0-8,2024 Spring
397-0-9,2024 Spring
397-0-10,2024 Spring
397-0-11,2024 Spring
397-0-12,2024 Spring
413-0,2024 Spring
447-0,2024 Spring
460-0,2024 Spring
496-0-6,2024 Spring
496-0-7,2024 Spring
496-0-8,2024 Spring
496-0-9,2024 Spring
496-0-11,2024 Spring
496-0-12,2024 Spring
496-0-13,2024 Spring
496-0-14,2024 Spring
496-0-15,2024 Spring
496-0-16,2024 Spring
496-0-18,2024 Spring
496-0-19,2024 Spring
496-0-20,2024 Spring
496-0-21,2024 Spring
496-0-22,2024 Spring
497-0-6,2024 Spring
497-0-7,2024 Spring
497-0-8,2024 Spring
497-0-9,2024 Spring
497-0-10,2024 Spring
497-0-11,2024 Spring
497-0-12,2024 Spring
110-0,2024 Summer
111-0,2024 Summer
331-0,2024 Summer
350-0,2024 Summer
396-0-1,2024 Summer
396-0-2,2024 Summer
397-0-1,2024 Summer
497-0-1,2024 Summer
150-0,2025 Summer
212-0,2025 Summer
326-0,2025 Summer
330-0,2025 Summer
333-0,2025 Summer
336-0,2025 Summer
341-0,2025 Summer
348-0,2025 Summer
349-0,2025 Summer
368-0,2025 Summer
396-0-1,2025 Summer
396-0-2,2025 Summer
397-0-1,2025 Summer
110-0,2023 Fall
111-0,2023 Fall
150-0,2023 Fall
211-0,2023 Fall
212-0,2023 Fall
213-0,2023 Fall
214-0,2023 Fall
217-0,2023 Fall
298-0,2023 Fall
307-0,2023 Fall
310-0,2023 Fall
312-0,2023 Fall
315-0,2023 Fall
321-0,2023 Fall
323-0,2023 Fall
325-0,2023 Fall
327-0,2023 Fall
329-0,2023 Fall
330-0,2023 Fall
333-0,2023 Fall
335-0,2023 Fall
336-0,2023 Fall
337-0,2023 Fall
338-0,2023 Fall
339-0,2023 Fall
340-0,2023 Fall
348-0,2023 Fall
349-0,2023 Fall
376-0,2023 Fall
392-0,2023 Fall
396-0-1,2023 Fall
396-0-2,2023 Fall
396-0-3,2023 Fall
396-0-4,2023 Fall
397-0-1,2023 Fall
401-0,2023 Fall
409-0,2023 Fall
415-0,2023 Fall
449-0,2023 Fall
469-0,2023 Fall
474-0,2023 Fall
496-0-4,2023 Fall
496-0-5,2023 Fall
496-0-6,2023 Fall
496-0-7,2023 Fall
496-0-8,2023 Fall
496-0-9,2023 Fall
496-0-10,2023 Fall
497-0-1,2023 Fall
497-0-2,2023 Fall
